    Iteration  Factor          P1          P2          P3          P4
           16       2    2.73e-01    1.73e-03    3.21e-04    3.24e-04 
           16       3    4.30e-04    4.40e-04    5.47e-03    4.97e-03 
           16       4    3.83e-04    3.10e-01    2.83e-04    2.85e-04 
           16       5    8.72e-03    3.11e-04    3.02e-04    3.02e-04 
           16       6    2.64e-04    2.86e-04    3.35e-01    3.49e-02 
           16       7    2.66e-04    2.76e-04    3.43e-04    3.38e-01 
           17       1           1           1           1           1 
           17       2    2.74e-01    1.70e-03    3.22e-04    3.25e-04 
           17       3    3.76e-04    3.78e-04    2.18e-03    3.15e-03 
           17       4    3.66e-04    3.08e-01    2.83e-04    2.85e-04 
           17       5    6.31e-03    3.47e-04    3.37e-04    3.37e-04 
           17       6    2.65e-04    2.85e-04    3.38e-01    3.62e-02 
           17       7    2.67e-04    2.76e-04    3.44e-04    3.39e-01 
           18       1           1           1           1           1 
           18       2    2.74e-01    1.67e-03    3.23e-04    3.25e-04 
           18       3    3.61e-04    3.61e-04    1.46e-03    2.05e-03 
           18       4    3.53e-04    3.05e-01    2.83e-04    2.84e-04 
           18       5    3.29e-03    3.70e-04    3.62e-04    3.62e-04 
           18       6    2.66e-04    2.84e-04    3.40e-01    3.73e-02 
           18       7    2.67e-04    2.76e-04    3.45e-04    3.40e-01 
           19       1           1           1           1           1 
           19       2    2.75e-01    1.64e-03    3.24e-04    3.25e-04 
           19       3    3.58e-04    3.58e-04    8.97e-04    1.80e-03 
           19       4    3.43e-04    3.03e-01    2.83e-04    2.84e-04 
           19       5    2.46e-04    2.46e-04    2.45e-04    2.45e-04 
           19       6    2.66e-04    2.83e-04    3.42e-01    3.82e-02 
           19       7    2.67e-04    2.75e-04    3.46e-04    3.40e-01 
           20       1           1           1           1           1 
           20       2    2.75e-01    1.61e-03    3.24e-04    3.25e-04 
           20       3    3.56e-04    3.56e-04    3.68e-04    1.48e-03 
           20       4    3.35e-04    3.00e-01    2.83e-04    2.84e-04 
           20       5    2.46e-04    2.46e-04    2.46e-04    2.46e-04 
           20       6    2.67e-04    2.82e-04    3.44e-01    3.91e-02 
           20       7    2.67e-04    2.75e-04    3.48e-04    3.41e-01 
           21       1           1           1           1           1 
           21       2    2.75e-01    1.57e-03    3.25e-04    3.26e-04 
           21       3    3.42e-04    3.42e-04    3.42e-04    6.88e-04 
           21       4    3.28e-04    2.98e-01    2.84e-04    2.84e-04 
           21       6    2.67e-04    2.81e-04    3.46e-01    4.02e-02 
           21       7    2.67e-04    2.74e-04    3.50e-04    3.42e-01 
           22       1           1           1           1           1 
           22       2    2.74e-01    1.53e-03    3.25e-04    3.26e-04 
           22       3    3.35e-04    3.35e-04    3.35e-04    3.35e-04 
           22       4    3.28e-04    2.95e-01    2.84e-04    2.85e-04 
           22       6    2.66e-04    2.78e-04    3.48e-01    4.19e-02 
           22       7    2.68e-04    2.74e-04    3.49e-04    3.43e-01 
           23       1           1           1           1           1 
           23       2    2.74e-01    1.48e-03    3.26e-04    3.26e-04 
           23       3    3.35e-04    3.35e-04    3.35e-04    3.35e-04 
           23       4    3.26e-04    2.92e-01    2.85e-04    2.85e-04 
           23       6    2.65e-04    2.75e-04    3.50e-01    4.43e-02 
           23       7    2.68e-04    2.74e-04    3.47e-04    3.43e-01 
           24       1           1           1           1           1 
           24       2    2.74e-01    1.41e-03    3.26e-04    3.26e-04 
           24       4    3.24e-04    2.89e-01    2.85e-04    2.85e-04 
           24       6    2.65e-04    2.74e-04    3.52e-01    4.64e-02 
           24       7    2.68e-04    2.73e-04    3.43e-04    3.44e-01 
           25       1           1           1           1           1 
           25       2    2.73e-01    1.22e-03    3.27e-04    3.27e-04 
           25       4    3.19e-04    2.86e-01    2.85e-04    2.85e-04 
           25       6    2.66e-04    2.74e-04    3.54e-01    4.84e-02 
           25       7    2.68e-04    2.73e-04    3.40e-04    3.45e-01 
           26       1           1           1           1           1 
           26       2    2.73e-01    9.69e-04    3.27e-04    3.27e-04 
           26       4    3.16e-04    2.84e-01    2.85e-04    2.85e-04 
           26       6    2.66e-04    2.73e-04    3.56e-01    5.03e-02 
           26       7    2.69e-04    2.73e-04    3.39e-04    3.46e-01 
           27       1           1           1           1           1 
           27       2    2.72e-01    6.94e-04    3.28e-04    3.27e-04 
           27       4    3.13e-04    2.82e-01    2.85e-04    2.85e-04 
           27       6    2.66e-04    2.73e-04    3.58e-01    5.20e-02 
           27       7    2.69e-04    2.72e-04    3.37e-04    3.46e-01 
           28       1           1           1           1           1 
           28       2    2.71e-01    5.03e-04    3.28e-04    3.27e-04 
           28       4    3.11e-04    2.80e-01    2.86e-04    2.85e-04 
           28       6    2.66e-04    2.72e-04    3.60e-01    5.36e-02 
           28       7    2.69e-04    2.72e-04    3.37e-04    3.47e-01 
           29       1           1           1           1           1 
           29       2    2.70e-01    4.22e-04    3.29e-04    3.28e-04 
           29       4    3.08e-04    2.78e-01    2.86e-04    2.85e-04 
           29       6    2.67e-04    2.72e-04    3.62e-01    5.51e-02 
           29       7    2.69e-04    2.72e-04    3.37e-04    3.48e-01 
           30       1           1           1           1           1 
           30       2    2.69e-01    3.89e-04    3.29e-04    3.28e-04 
           30       4    3.06e-04    2.77e-01    2.86e-04    2.85e-04 
           30       6    2.67e-04    2.72e-04    3.64e-01    5.65e-02 
           30       7    2.69e-04    2.72e-04    3.37e-04    3.49e-01 
           31       1           1           1           1           1 
           31       2    2.69e-01    3.73e-04    3.30e-04    3.28e-04 
           31       4    3.04e-04    2.75e-01    2.86e-04    2.85e-04 
           31       6    2.67e-04    2.71e-04    3.66e-01    5.78e-02 
           31       7    2.69e-04    2.72e-04    3.37e-04    3.50e-01 
           32       1           1           1           1           1 
           32       2    2.68e-01    3.63e-04    3.30e-04    3.28e-04 
           32       4    3.02e-04    2.73e-01    2.87e-04    2.86e-04 
           32       6    2.67e-04    2.71e-04    3.68e-01    5.90e-02 
           32       7    2.69e-04    2.72e-04    3.38e-04    3.51e-01 
           33       1           1           1           1           1 
